seed,	            0,          ,           ,           0,          0
loss function,	    iou,	    iou,	    distance,	distance,	iou,	        distance
loss manipulator,	identity,	identity,	identity,	identity,	smooth step,	smooth step
process old,	    ,	        off,	    off,	    on,	        on,	            off
optimize all,	    ,	        on,	        on,	        off,	    off,	        on
video
cliffbar,           0.894553,   0.488166,   0.501336,   0.505163,   0.47043,        0.784133
coke11,	            0.883395,	0.898872,	0.85718,	0.831617,	0.890323,	    0.792211
david,	            0.800847,	2.52149,	0.248052,	0.248633,	0.374546,	    0.236748
dollar,             0.765203,   0.759838,   0.785765,   0.78939,    0.717113,       0.875932
faceocc2,	        0.790128,	0.426938,	0.781224,	0.796034,	0.591839,	    0.774791
faceocc,	        0.853354,	0.564876,	0.41098,	0.566509,	0.798702,	    0.660938
girl,	            0.681729,	0.583508,	0.540737,	0.543006,	0.544018,	    0.446575
surfer,             0.787232,   0.71405,    0.817181,   0.84716,    0.75418,        0.831219
sylv,	            0.861525,	0.543012,	0.727951,	0.546823,	0.752008,	    0.636949
tiger1,	            0.674713,	2.1976,	    0.0934982,	0.513165,	0.565535,	    0.301834
tiger2,	            0.667268,	3.26082,	0.433783,	20.8434,	0.234416,	    0.907963
twinings,           0.903097,   0.675878,   0.487881,   0.487881,   0.825305,       0.599096
